nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
49,786432,BROADCAST,1.883,0.351
49,786432,SERIAL,1.669,0.492
50,16384,PARALLEL,0.799,0.72
50,16384,BROADCAST,0.686,0.301
50,16384,SERIAL,0.859,0.533
50,393216,PARALLEL,1.174,0.725
50,393216,BROADCAST,1.131,0.434
50,393216,SERIAL,1.073,0.468
50,786432,PARALLEL,2.266,0.372
50,786432,BROADCAST,1.525,0.305
50,786432,SERIAL,1.345,0.55
51,16384,PARALLEL,0.752,0.238
51,16384,BROADCAST,0.782,0.694
51,16384,SERIAL,0.601,0.24
51,393216,PARALLEL,1.261,0.954
51,393216,BROADCAST,1.01,0.699
51,393216,SERIAL,1.355,0.739
51,786432,PARALLEL,1.478,0.627
51,786432,BROADCAST,1.464,0.488
51,786432,SERIAL,1.678,0.51
52,16384,PARALLEL,0.747,0.307
52,16384,BROADCAST,0.591,0.486
52,16384,SERIAL,0.767,0.263
52,393216,PARALLEL,1.282,0.471
52,393216,BROADCAST,1.4,0.817
52,393216,SERIAL,1.325,0.541
52,786432,PARALLEL,1.607,0.294
52,786432,BROADCAST,1.563,0.352
52,786432,SERIAL,1.458,0.748
53,16384,PARALLEL,0.603,0.92
53,16384,BROADCAST,0.746,0.321
53,16384,SERIAL,0.827,0.562
53,393216,PARALLEL,1.215,0.287
53,393216,BROADCAST,1.432,0.512
53,393216,SERIAL,1.354,1.115
53,786432,PARALLEL,1.75,0.366
53,786432,BROADCAST,1.878,0.569
53,786432,SERIAL,1.543,0.531
54,16384,PARALLEL,0.954,0.491
54,16384,BROADCAST,0.748,0.666
54,16384,SERIAL,0.808,0.311
54,393216,PARALLEL,1.171,0.709
54,393216,BROADCAST,1.24,0.64
54,393216,SERIAL,1.377,0.38
54,786432,PARALLEL,2.896,1.282
54,786432,BROADCAST,1.693,0.39
54,786432,SERIAL,1.987,0.515
55,16384,PARALLEL,0.926,0.532
55,16384,BROADCAST,1.007,0.813
55,16384,SERIAL,0.843,0.418
55,393216,PARALLEL,1.307,0.369
55,393216,BROADCAST,1.98,1.485
55,393216,SERIAL,1.188,0.423
55,786432,PARALLEL,1.701,0.475
55,786432,BROADCAST,1.484,0.442
55,786432,SERIAL,1.495,0.882
56,16384,PARALLEL,0.802,0.466
56,16384,BROADCAST,0.926,0.321
56,16384,SERIAL,0.877,0.75
56,393216,PARALLEL,1.097,0.771
56,393216,BROADCAST,1.217,0.642
56,393216,SERIAL,1.28,0.406
56,786432,PARALLEL,1.952,0.825
56,786432,BROADCAST,1.572,0.612
56,786432,SERIAL,1.802,1.353
57,16384,PARALLEL,0.563,0.372
57,16384,BROADCAST,0.983,0.849
57,16384,SERIAL,1.281,0.915
57,393216,PARALLEL,1.257,0.279
57,393216,BROADCAST,1.194,0.25
57,393216,SERIAL,1.269,0.322
57,786432,PARALLEL,1.65,0.66
57,786432,BROADCAST,1.549,0.429
57,786432,SERIAL,1.65,0.543
58,16384,PARALLEL,1.07,1.066
58,16384,BROADCAST,0.776,0.327
58,16384,SERIAL,0.796,0.46
58,393216,PARALLEL,1.534,0.847
58,393216,BROADCAST,1.273,0.608
58,393216,SERIAL,1.303,0.698
58,786432,PARALLEL,1.844,2.006
58,786432,BROADCAST,1.604,0.772
58,786432,SERIAL,1.576,0.445
59,16384,PARALLEL,0.863,0.268
59,16384,BROADCAST,0.852,0.94
59,16384,SERIAL,0.829,0.465
59,393216,PARALLEL,1.173,0.434
59,393216,BROADCAST,1.239,0.702
59,393216,SERIAL,1.256,0.395
59,786432,PARALLEL,1.513,0.545
59,786432,BROADCAST,1.478,0.629
59,786432,SERIAL,1.612,0.39
60,16384,PARALLEL,0.939,0.395
60,16384,BROADCAST,0.918,0.515
60,16384,SERIAL,1.079,0.531
60,393216,PARALLEL,2.11,0.976
60,393216,BROADCAST,1.836,1.046
60,393216,SERIAL,1.385,0.465
60,786432,PARALLEL,1.84,0.746
60,786432,BROADCAST,1.723,0.615
60,786432,SERIAL,1.601,0.515
61,16384,PARALLEL,0.857,0.337
61,16384,BROADCAST,0.824,0.384
61,16384,SERIAL,0.823,0.403
61,393216,PARALLEL,1.229,0.377
61,393216,BROADCAST,1.448,0.459
61,393216,SERIAL,1.214,1.191
61,786432,PARALLEL,1.69,0.823
61,786432,BROADCAST,1.699,0.875
61,786432,SERIAL,2.974,0.807
62,16384,PARALLEL,0.861,0.339
62,16384,BROADCAST,0.836,0.383
62,16384,SERIAL,1.074,0.771
62,393216,PARALLEL,1.239,0.332
62,393216,BROADCAST,1.333,0.383
62,393216,SERIAL,1.781,0.869
62,786432,PARALLEL,2.375,0.79
62,786432,BROADCAST,1.803,0.463
62,786432,SERIAL,1.452,0.388
63,16384,PARALLEL,0.936,1.395
63,16384,BROADCAST,0.86,0.408
63,16384,SERIAL,0.986,0.618
63,393216,PARALLEL,1.465,0.631
63,393216,BROADCAST,1.892,0.397
63,393216,SERIAL,1.349,0.315
63,786432,PARALLEL,1.723,0.436
63,786432,BROADCAST,2.002,0.58
63,786432,SERIAL,1.656,0.661
64,16384,PARALLEL,0.831,0.302
64,16384,BROADCAST,0.868,0.401
64,16384,SERIAL,0.914,0.601
64,393216,PARALLEL,1.603,0.857
64,393216,BROADCAST,1.426,0.518
64,393216,SERIAL,1.441,0.52
64,786432,PARALLEL,1.806,0.747
64,786432,BROADCAST,1.657,0.565
64,786432,SERIAL,1.973,1.081
