nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
27,393216,SERIAL,0.9955,0.0678
27,786432,PARALLEL,1.2626000000000004,0.07039999999999999
27,786432,BROADCAST,1.2557,0.3338
27,786432,SERIAL,1.3475,0.0754
28,16384,PARALLEL,0.8206,0.06659999999999999
28,16384,BROADCAST,0.8781000000000001,0.08199999999999999
28,16384,SERIAL,0.8150999999999999,0.0732
28,393216,PARALLEL,1.1038,0.0631
28,393216,BROADCAST,1.0916000000000001,0.14079999999999998
28,393216,SERIAL,1.0577999999999999,0.0715
28,786432,PARALLEL,1.2608,0.0868
28,786432,BROADCAST,1.3218,0.3255
28,786432,SERIAL,1.2918999999999998,0.0717
29,16384,PARALLEL,0.8422999999999998,0.0821
29,16384,BROADCAST,0.8295,0.0854
29,16384,SERIAL,0.8271999999999998,0.06720000000000001
29,393216,PARALLEL,1.0777,0.07339999999999999
29,393216,BROADCAST,1.1358000000000001,0.1421
29,393216,SERIAL,1.0848,0.07410000000000001
29,786432,PARALLEL,1.4143999999999999,0.0837
29,786432,BROADCAST,1.3666000000000003,0.24310000000000004
29,786432,SERIAL,1.2957,0.07849999999999999
30,16384,PARALLEL,0.9673,0.0803
30,16384,BROADCAST,0.9480999999999999,0.08379999999999999
30,16384,SERIAL,0.907,0.06799999999999999
30,393216,PARALLEL,1.0487999999999997,0.0692
30,393216,BROADCAST,1.1839,0.14600000000000002
30,393216,SERIAL,1.1787999999999998,0.07269999999999999
30,786432,PARALLEL,1.4163000000000001,0.0856
30,786432,BROADCAST,1.3037,0.2274
30,786432,SERIAL,1.3591,0.07110000000000001
31,16384,PARALLEL,0.9298000000000002,0.07799999999999999
31,16384,BROADCAST,0.8962999999999999,0.0851
31,16384,SERIAL,0.8977,0.07819999999999999
31,393216,PARALLEL,1.1432,0.07460000000000001
31,393216,BROADCAST,1.1131,0.15340000000000004
31,393216,SERIAL,1.1261,0.07519999999999999
31,786432,PARALLEL,1.4647000000000001,0.0849
31,786432,BROADCAST,1.3467,0.2171
31,786432,SERIAL,1.3712,0.07659999999999997
32,16384,PARALLEL,0.9965999999999999,0.0881
32,16384,BROADCAST,1.0212999999999999,0.08579999999999999
32,16384,SERIAL,1.0483,0.08519999999999998
32,393216,PARALLEL,1.1486,0.0752
32,393216,BROADCAST,1.2348,0.1436
32,393216,SERIAL,1.1601,0.0727
32,786432,PARALLEL,1.3733,0.0861
32,786432,BROADCAST,1.4249000000000003,0.24180000000000001
32,786432,SERIAL,1.3840999999999999,0.0786
33,16384,PARALLEL,0.99,0.08859999999999998
33,16384,BROADCAST,0.9829000000000001,0.08549999999999999
33,16384,SERIAL,0.9266,0.06899999999999999
33,393216,PARALLEL,1.1723,0.09080000000000002
33,393216,BROADCAST,1.3199999999999998,0.1641
33,393216,SERIAL,1.3064000000000002,0.08459999999999998
33,786432,PARALLEL,1.4538000000000002,0.096
33,786432,BROADCAST,1.4233,0.24250000000000002
33,786432,SERIAL,1.5589000000000002,0.0827
34,16384,PARALLEL,1.0514,0.08159999999999999
34,16384,BROADCAST,1.0009,0.08809999999999998
34,16384,SERIAL,1.0479999999999998,0.076
34,393216,PARALLEL,1.2456999999999998,0.079
34,393216,BROADCAST,1.1797,0.253
34,393216,SERIAL,1.3094000000000001,0.07309999999999998
34,786432,PARALLEL,1.3875000000000002,0.1085
34,786432,BROADCAST,1.3905,0.25
34,786432,SERIAL,1.5451000000000001,0.09949999999999999
35,16384,PARALLEL,1.0234999999999999,0.08539999999999999
35,16384,BROADCAST,1.0693,0.09969999999999998
35,16384,SERIAL,1.0601,0.08139999999999999
35,393216,PARALLEL,1.2294,0.09229999999999998
35,393216,BROADCAST,1.2055,0.15860000000000002
35,393216,SERIAL,1.2338,0.076
35,786432,PARALLEL,1.5251000000000003,0.09689999999999999
35,786432,BROADCAST,1.6260999999999999,0.2511
35,786432,SERIAL,1.6216000000000002,0.09409999999999999
36,16384,PARALLEL,1.053,0.078
36,16384,BROADCAST,1.0929000000000002,0.08929999999999998
36,16384,SERIAL,1.1205,0.07449999999999998
36,393216,PARALLEL,1.3835,0.1048
36,393216,BROADCAST,1.2404,0.1613
36,393216,SERIAL,1.3064,0.0827
36,786432,PARALLEL,1.5315,0.09109999999999999
36,786432,BROADCAST,1.4191000000000003,0.2492
36,786432,SERIAL,1.4501,0.09689999999999999
37,16384,PARALLEL,1.1008,0.07310000000000001
37,16384,BROADCAST,1.0683,0.0797
37,16384,SERIAL,1.0878999999999999,0.07529999999999999
37,393216,PARALLEL,1.4954999999999998,0.0879
37,393216,BROADCAST,1.3565999999999998,0.1629
37,393216,SERIAL,1.3615,0.0928
37,786432,PARALLEL,1.4711,0.09359999999999999
37,786432,BROADCAST,1.5889000000000002,0.24
37,786432,SERIAL,1.5334999999999999,0.08309999999999998
38,16384,PARALLEL,1.1560000000000001,0.08549999999999999
38,16384,BROADCAST,1.2799,0.10179999999999997
38,16384,SERIAL,1.1201,0.079
38,393216,PARALLEL,1.3604,0.09509999999999999
38,393216,BROADCAST,1.3624999999999998,0.1627
38,393216,SERIAL,1.4224999999999999,0.08509999999999998
38,786432,PARALLEL,1.4783000000000002,0.09569999999999998
38,786432,BROADCAST,1.7431,0.25660000000000005
